title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Revolutionizing Alumni Platforms Using Scalable AI and Advanced Hybrid Recommendation Algorithms for Personalized Engagement,"J Risman, M Kesavan, S Karuppusamy…",2025,0,"… , a professional networking hub, job search service, and a … mater as well as fellow graduates and provides professional … provide scholarship funds, infrastructure projects, or even custom …",ft2Obnn4_0cJ,"J Risman, M Kesavan, S Karuppusamy… - … Analysis and Deep …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10933204/,unknown,unknown
The Neural Networked Scholar: How AI is Shaping the Future of Knowledge Dissemination,"H Tasnim, AAA Ahmed, K Rahman",2024,5,"… Our findings highlight both the promise of efficiency gains and personalization, and the … AI-enhanced discovery tools are helping researchers find relevant literature more quickly, while AI…",vV6dOxUr4csJ,"H Tasnim, AAA Ahmed, K Rahman - Silicon Valley Tech Review, 2024 - hal.science",[],https://hal.science/hal-05243896/,unknown,unknown
A system architecture centred on knowledge management processes,"I Belevičiūtė, I Belevičiūte",2008,3,"… Others explain the technical focus of KM with its roots in artificial intelligence. As … collaborate with team members, find organizational resources, search for experts and corporate …",R-7knl_O3aMJ,"I Belevičiūtė, I Belevičiūte - 2008 - etalpykla.vilniustech.lt",[],https://etalpykla.vilniustech.lt/handle/123456789/111500,unknown,unknown
Reflective AI for Career Preparation: Designing and Evaluating LLM-Driven Visualization Systems,V Shah,2026,0,"… While AI-powered platforms for resume analysis and interview simulation have become common, … This work contributes an empirical account of reflective AI for job preparation and offers …",01mZJu5B-FYJ,V Shah - 2026 - search.proquest.com,[],https://search.proquest.com/openview/71ec3a4728ea0e2149471f3ebebdb4ed/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Benchmarking of large language models for the dental admission test,"Y Hou, J Patel, L Dai, E Zhang, Y Liu, Z Zhan…",2025,17,"… in healthcare education encompass personalized learning, … Solving this equation, we find that x = 6, which means the … The use of artificial intelligence (AI)-powered language models …",6mDEGCOzDFUJ,"Y Hou, J Patel, L Dai, E Zhang, Y Liu, Z Zhan… - Health Data …, 2025 - spj.science.org",[],https://spj.science.org/doi/abs/10.34133/hds.0250,unknown,unknown
Interpretable graph-based models on multimodal biomedical data integration: A technical review and benchmarking,"A Sadeghi, F Hajati, A Argha, NH Lovell…",2026,3,"… this work as a key reference for trustworthy biomedical AI. … ], while also enabling personalized medicine through predictive … For the graph masking technique, we aimed to find a mask that…",AN8CrayeAlkJ,"A Sadeghi, F Hajati, A Argha, NH Lovell… - Nature …, 2026 - nature.com",[],https://www.nature.com/articles/s41467-026-74126-5,unknown,unknown
A model for a successful implementation of knowledge management in engineering organizations,A Obaide,2004,29,… These perspectives concerned with the characteristics of knowledge and its role within the organization has led to invigorating debate among scholars and practitioners from other …,HS6Q9qEjSU8J,A Obaide - 2004 - search.proquest.com,[],https://search.proquest.com/openview/e7609cb392e3676a917a4c340b30b000/1?pq-origsite=gscholar&cbl=51922&diss=y,unknown,unknown
Intellectual capital in universities: Improving transparency and internal management,"M Paloma Sánchez, S Elena",2006,451,"… From a conceptual point of view, we find some similarities between IC approaches and the … She was the central co‐ordinator of the MERITUM research project and the E*KNOW‐NET …",-r-T6kItvxIJ,"M Paloma Sánchez, S Elena - Journal of intellectual capital, 2006 - emerald.com",[],https://www.emerald.com/jic/article/7/4/529/208329,unknown,unknown
Personal learning Environments based on Web 2.0 services in higher education,"RT Kompen, P Edirisingha, X Canaleta, M Alsina…",2019,277,… PLEs can be considered as a potential means of achieving personalization in learning. The idea of PLEs is underpinned by the concept of Web 2.0: an evolution of the original Web and …,H3GWbUgqNwgJ,"RT Kompen, P Edirisingha, X Canaleta, M Alsina… - Telematics and …, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0736585318306312,unknown,unknown
Social software: Participants' experience using social networking for learning,CW Batchelder,2010,21,… MyYahoo and iGoogle are popular portals from the search engine providers. Personal portals allow users to quickly and easily create customized Web sites that “aggregate information …,8KnDi763AmgJ,CW Batchelder - 2010 - search.proquest.com,[],https://search.proquest.com/openview/d43ef111ab50390767f2be72f0004005/1?pq-origsite=gscholar&cbl=18750,unknown,unknown
EUROPEAN ACCOUNTING: HOPWOOD VS BREXIT on the development of the Spanish accounting academic community within the framework of the European …,L Cañibano,2021,4,"… , allowed us to act as good hosts, creating a warm atmosphere of mutual trust and fellowship. … Recommended articles lists articles that we recommend and is powered by our AI driven …",qBqTEU2ohf8J,"L Cañibano - Spanish Journal of Finance and Accounting/Revista …, 2021 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02102412.2020.1824114,unknown,unknown
The Four Elements of a viable PLE,D Gillet,2010,0,"… Within the top10 we find further a widgets in combination … Within the top 10 we find here again google maps, Facebook … , or API, or any other kind of future promote personalization and …",rZYly8zBWNEJ,D Gillet - 2010 - academia.edu,[],https://www.academia.edu/download/71701974/download.pdf,unknown,unknown
State-of-the-Art Report on Research Projects and Market Situation,M Hefke,2002,0,,wYpkA1WEGGUJ,M Hefke - 2002 - Citeseer,[],,unknown,unknown
Intangibles and the transparent enterprise: new strands of knowledge,"J Guthrie, U Johanson, PN Bukh…",2003,106,"… This conference was organized by E*KNOW‐NET, under the auspices of the OECD and the … Finally, Marr, Gray and Neely outline, in their paper, several possible avenues for scholars …",7P-ONQ_HgScJ,"J Guthrie, U Johanson, PN Bukh… - Journal of Intellectual …, 2003 - emerald.com",[],https://www.emerald.com/jic/article/4/4/429/214913,unknown,unknown
GTT4BDIAN,SBP O'Dell,1972,0,"… not ai: t irty lad worked at the When asked If he had any Idea … on campus student Jobs are hard to find."" O'Dell was referrrlng to … We want to let the students know net how It should be, but …",zGCis7eU_3MJ,"SBP O'Dell - The Guardian, 1972 - corescholar.libraries.wright.edu",[],https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=1225&context=guardian,unknown,unknown
