title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Optimizing biomedical discoveries as an engine of culture change in an academic medical center,"AK DeChant, S Fening, M Haag, W Harte…",2022,13,… projects to help provide the best advice for development of technologies and to give those discoveries the best opportunity to achieve external funding and potentially reach the market. …,EnlMIdfunW4J,"AK DeChant, S Fening, M Haag, W Harte… - Journal of Clinical and …, 2022 - cambridge.org",[],https://www.cambridge.org/core/journals/journal-of-clinical-and-translational-science/article/optimizing-biomedical-discoveries-as-an-engine-of-culture-change-in-an-academic-medical-center/CBCF0B9D9D2701F08F5572602D46CB8C,unknown,unknown
The art of obtaining grants,EB Devine,2009,34,… of Funded Research enables the tracking of funding histories … grant officer at the funding agency is also recommended. An … the “research horizon” for funding opportunities. Learning …,HJeCcbKwcQwJ,"EB Devine - American Journal of Health-System Pharmacy, 2009 - academic.oup.com",[],https://academic.oup.com/ajhp/article-abstract/66/6/580/5130561,unknown,unknown
Bias in research grant evaluation has dire consequences for small universities,"DL Murray, D Morris, C Lavoie, PR Leavitt, H MacIsaac…",2016,113,"… councils should ensure the integrity of science research funding by … We analyzed 13,526 Discovery Grant proposal review … to funds in support of research and training opportunities in …",8TpRCiRtjTgJ,"DL Murray, D Morris, C Lavoie, PR Leavitt, H MacIsaac… - PloS one, 2016 - journals.plos.org",[],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0155876,unknown,unknown
A personalized information recommendation system for R&D project opportunity finding in big data contexts,"W Xu, J Sun, J Ma, W Du",2016,57,"… Recommendation technique, as one of emerging tools to … recommend R&D project opportunities to related researchers and … for R&D project opportunity recommendation. An …",Vokkzs_YFvcJ,"W Xu, J Sun, J Ma, W Du - Journal of Network and Computer Applications, 2016 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1084804515000466,unknown,unknown
Academic entrepreneurship: How to bring your scientific discovery to a successful commercial product,M Marcolongo,2017,16,"… entrepreneurship with all of its exciting opportunities as well … The book begins with a brief review of academic … influx of research funding from NSF, academic science was …",_OIdwr_pzDsJ,M Marcolongo - 2017 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=AkkzDwAAQBAJ&oi=fnd&pg=PR9&dq=opportunity+discovery+recommendation+academic+grants&ots=JdfYbwj6pf&sig=rjKvoizFoM-2LKC8KaxgIZVGnFs,unknown,unknown
Challenges and opportunities of building an entrepreneurial discovery process through university–industry interaction: A Norwegian case study,T Brekke,2021,14,"… funding, and selection is done through open calls for research proposals and an international peer review … , knowledge, and funding) helped the university college to renew and …",rcb45pzuaEIJ,"T Brekke - Industry and Higher Education, 2021 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0950422220978348,unknown,unknown
Catalan universities and the entrepreneurial discovery process: Challenges and opportunities emerging from the RIS3CAT Communities,"E Marinelli, S Elena-Perez",2017,19,… for accessing structural funds for research and innovation.1 Such strategies identify priority areas in which research and innovation … Conclusions and policy recommendations …,Z7aVu7nhvOEJ,"E Marinelli, S Elena-Perez - Industry and Higher Education, 2017 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0950422217737150,unknown,unknown
Academic drug discovery: Challenges and opportunities,"AJ Murray, LR Cox, HV Adcock, RA Roberts",2024,11,… income of £4.1 million (grants and industry awards that DIF funding has led directly to being … complexity leading to the suggestion of a motivation–opportunity–ability framework that to …,Ki_fDhx63QsJ,"AJ Murray, LR Cox, HV Adcock, RA Roberts - Drug Discovery Today, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1359644624000436,unknown,unknown
Discovery grants for education innovation-supporting the adoption of people-centred design in HE one step at a time,"S Dyer, K Deacon",2023,3,"… Second, we review our experiences in light of the barriers to people-centred design in … we are examining evidence that the grants were an opportunity to practise these mindsets. We …",4EstedHMbwsJ,"S Dyer, K Deacon - … Journal of Management and Applied Research, 2023 - ceeol.com",[],https://www.ceeol.com/search/article-detail?id=1197595,unknown,unknown
Research universities and the public good: Discovery for an uncertain future,J Owen-Smith,2018,132,,IL4spSr4V1EJ,J Owen-Smith - 2018 - Stanford University Press,[],,unknown,unknown
