title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Aid to regional development agencies: Finding and matching research funding opportunities,"M Kaschesky, A Gschwend, G Bouchard…",2012,1,"… blocks of an online matching service of research profiles with funding opportunities. It gives an … mission is to keep researchers informed about these funding opportunities, the task is …",UJmt_OfKs-wJ,"M Kaschesky, A Gschwend, G Bouchard… - … Government Research, 2012 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2307729.2307732,unknown,unknown
Government Funding and the Direction of Academic Energy Research,"D Popp, M Gregoire-Zawilski, L Liang, D Acuna",2026,1,… numbers and the related funding opportunity announcement identifier were obtained from the Department of Energy … 3 While we match researchers on the Carnegie classification of their …,M_vOEiH1RfUJ,"D Popp, M Gregoire-Zawilski, L Liang, D Acuna - 2026 - nber.org",[],https://www.nber.org/papers/w34856,unknown,unknown
The art of obtaining grants,EB Devine,2009,34,"… Too often, grant writers focus on their need for funding instead of matching their need with … offers a junior investigator award and a practice-based research award for pharmacy residents…",HJeCcbKwcQwJ,"EB Devine - American Journal of Health-System Pharmacy, 2009 - academic.oup.com",[],https://academic.oup.com/ajhp/article-abstract/66/6/580/5130561,unknown,unknown
Optimizing biomedical discoveries as an engine of culture change in an academic medical center,"AK DeChant, S Fening, M Haag, W Harte…",2022,13,"… in translational grants to investigator laboratories were … the matching funds needed to access NCAI funds by utilizing the CAHH, Coulter, and other translational research program funds, …",EnlMIdfunW4J,"AK DeChant, S Fening, M Haag, W Harte… - Journal of Clinical and …, 2022 - cambridge.org",[],https://www.cambridge.org/core/journals/journal-of-clinical-and-translational-science/article/optimizing-biomedical-discoveries-as-an-engine-of-culture-change-in-an-academic-medical-center/CBCF0B9D9D2701F08F5572602D46CB8C,unknown,unknown
Barriers to racial/ethnic minority application and competition for NIH research funding,"VL Shavers, P Fagan, D Lawrence…",2005,142,"… The disconnect between discovery and delivery is mentioned … financial issues, such as the amount of grant funding that is … require the principal investigator to provide matching funds to …",zdE7uj3VAsgJ,"VL Shavers, P Fagan, D Lawrence… - Journal of the …, 2005 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC2575989/,unknown,unknown
Do governments fund the best entrepreneurial ventures? The case of the small business innovation research program,"S Dutta, TB Folta, J Rodrigues",2022,21,"… best researchers could do is to control for selection, rather than ascertain whether SBIR grants … For each ARRA-funded firm we attempted to find an exact match on each criterion regular-…",5d5ngygF3owJ,"S Dutta, TB Folta, J Rodrigues - … of Management Discoveries, 2022 - journals.aom.org",[],https://journals.aom.org/doi/abs/10.5465/amd.2019.0078,unknown,unknown
Selecting the appropriate research mechanism: Finding the right match,"CA Boyce, CF Aklin",2010,1,"… appropriate research mechanism that matches the research, the investigator, and the budget. A … Awards (for clinicians or researchers very early in their research careers) to Research …",GfmiH-QHCFcJ,"CA Boyce, CF Aklin - How to write a successful research grant application …, 2010 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4419-1454-5_4,unknown,unknown
Competitive research grants and their impact on career performance,"C Bloch, EK Graversen, HS Pedersen",2014,170,… funding and 963 rejected applicants; this implies that there are granted researchers who could not be matched with … Due to the matching protocol we match researchers with the closest …,PCLyLiBHL3AJ,"C Bloch, EK Graversen, HS Pedersen - Minerva, 2014 - Springer",[],https://link.springer.com/article/10.1007/s11024-014-9247-0,unknown,unknown
Overton Engage: A Structured Database and Matching System for Academic Policy Engagement Opportunities,"C Wincott, ALJ Tamame, S Collard, E Adie…",2026,0,"… personalised discovery, a semantic matching system is used to link opportunities to researchers … and academic publications are used to identify matches between researchers and …",DWpo9BZdakIJ,"C Wincott, ALJ Tamame, S Collard, E Adie… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2604.01729,unknown,unknown
Funding model and creativity in science: Competitive versus block funding and status contingency effects,"J Wang, YN Lee, JP Walsh",2018,169,… with low academic status and therefore discourages their novel research. … funding allocation procedures and suggest the importance of secure stable funding for allowing researchers …,R2seJY8W0PoJ,"J Wang, YN Lee, JP Walsh - Research Policy, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0048733318300726,unknown,unknown
